Access Scenario,PK,SK,GS1PK,GSI2PK
associate an irs practitioner onto a case,case|${CASE_ID},irsPractitioner|${USER_ID},leadCase|${LEAD_CASE_ID}
associate a private practitioner onto a case,case|${CASE_ID},privatePractitioner|${USER_ID},leadCase|${LEAD_CASE_ID}
associate docket entry on a case,case|${CASE_ID},docket-entry|${DOCKET_ENTRY_ID},
add a hearing to a case,case|${CASE_ID},hearing|${TRIAL_SESSION_ID},
how we store the list of trial sessions eligble for a case,eligible-for-trial-case-catalog,LasVegasNevada-H-B-20190816132910-107-19,eligible-for-trial-case-catalog|${CASE_ID}
associate practitioner by bar number for lookup,privatePractitioner|${BAR_NUMBER},user|${userId},
associate practitioner by name for lookup,privatePractitioner|${NAME},user|${userId},
for getting all users in a section,section|${SECTION_NAME},user|${USER_ID},
copy the trial session and attach it to the user,trial-session-working-copy|${TRIAL_SESSION_ID},user|${USER_ID},
a trial session record,trial-session|${TRIAL_SESSION_ID},trial-session|${TRIAL_SESSION_ID},trial-session-catalog
lookup a user by their email,user-email|${EMAIL},user|${USER_ID},
associate user with a case,user|${USER_ID},case|${CASE_ID},user-case|${CASE_ID}
associate user with pending case,user|${USER_ID},pending-case|${CASE_ID},
save web socket connection associated with the user,user|${USER_ID},connection|${SOCKET_ID},connection
create a user,user|${USER_ID},user|${USER_ID},
