Document Name (Concatenation Mapping),Document Type (Option),Document Type Category (Option),Respondent,Practitioner,Petitioner,Event Code ,Scenario,Variations ,Label- Previous Document from Record ,Label- Free Text / Trial Location Dropdown,Second Free Text ,Ordinal Field
"[First, Second, etc. ] Amended [Document Name]",Amended [Document Name],Miscellaneous,,,,AMAT ,Nonstandard F,,Which document are you amending?,,,What Iteration Is this filing?
"[First, Second, etc.] Amendment to [anything]",Amendment [anything],Miscellaneous,,,,ADMT,Nonstandard F ,,What is this amendment for?,,,What Iteration Is this filing?
"[First, Second, etc.] Request for Admissions",Request for Admissions,Request,TRUE,TRUE,TRUE,REQA,Nonstandard G,,,,,What Iteration Is this filing?
"[First, Second, etc.] Stipulation of Facts",Stipulation of Facts,Stipulation,TRUE,TRUE,TRUE,STIP,Nonstandard G,,,,,What Iteration Is this filing?
"[First, Second, etc.] Supplement To [anything]",Supplement To [anything],Supplement ,,,,SPMT,Nonstandard B,,,What is this supplement for?,,
"[First, Second, etc.] Supplement to [Document Name]",Supplement,Supplement,TRUE,TRUE,TRUE,SUPM,Nonstandard F,,Which document is this a supplement to?,,,What Iteration Is this filing?
"[First, Second, etc.] Supplemental [anything]",Supplemental [anything],Supplement ,,,,SATL,Nonstandard B,,,What is this supplemental for?,,
"[First, Second, etc.] Supplemental [Document Name]",Supplemental,Supplement,TRUE,TRUE,TRUE,SPML,Nonstandard F,,Which document is this supplemental for?,,,What Iteration Is this filing?
Administrative Record,Administrative Record,Miscellaneous,TRUE,TRUE,TRUE,ADMR,Standard,,,,,
Affidavit of [Name] in Support of [Document Name],Affidavit in Support,Supporting Document,TRUE,TRUE,TRUE,AFF,Nonstandard C,,Which document is this affidavit in support of?,Who signed this?,,
Agreed Computation for Entry of Decision,Agreed Computation for Entry of Decision,Decision,TRUE,TRUE,TRUE,ACED,Standard,,,,,
Amended Certificate of Service of [Document Name],Amended Certificate of Service,Miscellaneous,TRUE,TRUE,TRUE,AMDC,Nonstandard D,,Which document is this Certificate of Service for?,Date of service,,
Answer,Answer,Answer (filed by respondent only),TRUE,FALSE,FALSE,A,Standard,,,,,
Answer to Amended Petition,Answer to Amended Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,AAPN,Standard,,,,,
"Answer to Amended Petition, as Amended","Answer to Amended Petition, as Amended",Answer (filed by respondent only),TRUE,FALSE,FALSE,ATAP,Standard,,,,,
Answer to Amendment to Amended Petition,Answer to Amendment to Amended Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,AAAP,Standard,,,,,
Answer to Amendment to Petition,Answer to Amendment to Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,AATP,Standard,,,,,
"Answer to Petition, as Amended","Answer to Petition, as Amended",Answer (filed by respondent only),TRUE,FALSE,FALSE,APA,Standard,,,,,
Answer to Second Amended Petition,Answer to Second Amended Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,ATSP,Standard,,,,,
Answer to Second Amendment to Petition,Answer to Second Amendment to Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,AATS,Standard,,,,,
Answer to Supplement to Petition,Answer to Supplement to Petition,Answer (filed by respondent only),TRUE,FALSE,FALSE,ASUP,Standard,,,,,
