CODE,DOCKET ENTRY LANGUAGE,Document Type,Nonstandard type ,What is this order for? ,Judge's name ,Date,Docket number(s),Trial location (dropdown) ,Concatenated Docket Entry ,Served Stamp 
O,ORDER *ANYTHING*,Order ,Type A ,[Anything],,,,,Order [Anything],Served OR Entered and Served 
OAJ,ORDER that case is assigned to *JUDGE* . *ANYTHING*,Order that case is assigned ,Type B,[Anything],[Judge Name],,,,Order [Judge name] [Anything],Served 
OAL,"ORDER that the letter ""L"" is added to the Dkt. No. *ANYTHING*","Order that the letter ""L"" is added to Docket number ",Type C,,,,[Docket number],,"Order that the letter ""L"" is added to Docket number [Anything]",Served 
OAP,ORDER for Amended Petition on *DATE*. *ANY*,Order for Amended Petition ,Type D,[Anything],,[Date],,,Order for Amended Petition on [Date] [Anything],Served 
OAPF,ORDER for Amended Petition and Filing Fee  on *DATE*. *ANY*,Order for Amended Petition and Filing Fee ,Type D,[Anything],,[Date],,,Order for Amended Petition and Filing Fee on [Date] [Anything],Served 
OAR,"ORDER that the letter ""R"" is added to the Dkt. No. *ANYTHING*","Order that the letter ""R"" is added to the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""R"" is added to the Docket number [Docket number]",Served 
OAS,"ORDER that the letter ""S"" is added to the Dkt. No. *ANYTHING*","Order that the letter ""S"" is added to the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""S"" is added to the Docket number [Docket number]",Served 
OASL,"ORDER that the letters ""SL"" are added to the Dkt. No. *ANY*","Order that the letters ""SL"" are added to the Docket number ",Type C,,,,[Docket number],,"Order that the letters ""SL"" are added to the Docket number [Docket number]",Served 
OAW,"ORDER that the letter ""W"" is added to the Dkt. No. *ANYTHING*","Order that the letter ""W"" is added to the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""W"" is added to the Docket number [Docket number]",Served 
OAX,"ORDER that the letter ""X"" is added to the Dkt. No. *ANYTHING*","Order that the letter ""X"" is added to the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""X"" is added to the Docket number [Docket number]",Served 
OCA,ORDER that caption of case is amended. *ANYTHING*,Order that caption of case is amended ,Type A ,[Anything],,,,,Order that caption of case is amended [Anything],Served
OD,"ORDER OF DISMISSAL Entered, *JUDGE*. *ANYTHING*",Order of Dismissal Entered,Type B,[Anything],[Judge name],,,,"Order of Dismissal Entered, [Judge Name] [Anything]",Entered and Served 
ODD,"ORDER OF DISMISSAL AND DECISION Entered, *JUDGE*. *ANYTHING*",Order of Dismissal and Decision Entered,Type B,[Anything],[Judge name],,,,"Order of Dismissal and Decision Entered, [Judge Name] [Anything]",Entered and Served 
ODL,"ORDER that the letter ""L"" is deleted from the Dkt. No. *ANY*","Order that the letter ""L"" is deleted from the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""L"" is deleted from the Docket number [Docket number]",Served
ODP,"ORDER that the letter ""P"" is deleted from the Dkt. No. *ANYTHING*","Order that the letter ""P"" is deleted from the Docket number ",Type C,,,,[Docket number],,"Order that the letter ""P"" is deleted from the Docket number [Docket number]",Served
